baker,series,episode,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown,technical
Edd,1,5,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Debt collector for Yorkshire Bank,Bradford,2
Edd,1,6,WINNER,Cinnamon and Banana Cake,NA,24,Debt collector for Yorkshire Bank,Bradford,NA
Enwezor,5,1,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,39,Business Consultant,"Portsmouth, Hampshire",9
Enwezor,5,2,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,39,Business Consultant,"Portsmouth, Hampshire",9
Enwezor,5,3,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,4,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,5,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,6,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,7,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,8,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,9,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Enwezor,5,10,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA
Flo,8,1,IN,Citrus Layer Cake,'One in a Melon' Cake,71,Retired,Merseyside,9
Flo,8,2,IN,Gin Jam Butties,'Pick My Bones' Game,71,Retired,Merseyside,10
Flo,8,3,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,71,Retired,Merseyside,7
Flo,8,4,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,5,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,6,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,7,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,8,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,9,NA,NA,NA,71,Retired,Merseyside,NA
Flo,8,10,NA,NA,NA,71,Retired,Merseyside,NA
Flora,6,1,IN,Blood Orange Madeira Cake,Black Forest Gâteau,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6
Flora,6,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2
Flora,6,3,IN,Fig and Hazelnut Rye Breads,Herb Couture,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2
Flora,6,4,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3
Flora,6,5,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3
Flora,6,6,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2
Flora,6,7,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",19,Art gallery assistant,"Dunkeld, Perth and Kinross",4
Flora,6,8,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3
Flora,6,9,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel,19,Art gallery assistant,"Dunkeld, Perth and Kinross",1
Flora,6,10,NA,NA,NA,19,Art gallery assistant,"Dunkeld, Perth and Kinross",NA
Frances,4,1,IN,Giant Jam Sandwich,Secret Squirrel Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7
Frances,4,2,IN,Giant Matchsticks,Sailor's Knot,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2
Frances,4,3,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,31,Children's Clothes Designer,"Market Harborough, Leicestershire",8
Frances,4,4,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1
Frances,4,5,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3
Frances,4,6,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2
Frances,4,7,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5
Frances,4,8,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,Children's Clothes Designer,"Market Harborough, Leicestershire",3
Frances,4,9,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2
Frances,4,10,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3
Glenn,4,1,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,37,English Teacher,"Teignmouth, Devon",4
Glenn,4,2,IN,Rosemary and Parmesan Grissini,Harvest Crown,37,English Teacher,"Teignmouth, Devon",7
Glenn,4,3,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,37,English Teacher,"Teignmouth, Devon",1
Glenn,4,4,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),37,English Teacher,"Teignmouth, Devon",9
Glenn,4,5,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,37,English Teacher,"Teignmouth, Devon",2
Glenn,4,6,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,37,English Teacher,"Teignmouth, Devon",5
Glenn,4,7,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,37,English Teacher,"Teignmouth, Devon",3
Glenn,4,8,NA,NA,NA,37,English Teacher,"Teignmouth, Devon",NA
Glenn,4,9,NA,NA,NA,37,English Teacher,"Teignmouth, Devon",NA
Glenn,4,10,NA,NA,NA,37,English Teacher,"Teignmouth, Devon",NA
Helena,10,1,IN,NA,NA,40,Online project manager,Leeds,12
Helena,10,2,IN,NA,NA,40,Online project manager,Leeds,12
Helena,10,3,IN,NA,NA,40,Online project manager,Leeds,8
Helena,10,4,IN,NA,NA,40,Online project manager,Leeds,9
Helena,10,5,OUT,NA,NA,40,Online project manager,Leeds,1
Helena,10,6,NA,NA,NA,40,Online project manager,Leeds,NA
Helena,10,7,NA,NA,NA,40,Online project manager,Leeds,NA
Helena,10,8,NA,NA,NA,40,Online project manager,Leeds,NA
Helena,10,9,NA,NA,NA,40,Online project manager,Leeds,NA
Helena,10,10,NA,NA,NA,40,Online project manager,Leeds,NA
Henry,10,1,IN,NA,NA,20,Student,Durham,1
Henry,10,2,IN,NA,NA,20,Student,Durham,6
Henry,10,3,IN,NA,NA,20,Student,Durham,1
Henry,10,4,IN,NA,NA,20,Student,Durham,3
Henry,10,5,IN,NA,NA,20,Student,Durham,3
Henry,10,6,IN,NA,NA,20,Student,Durham,4
Henry,10,7,STAR BAKER,NA,NA,20,Student,Durham,3
Henry,10,8,OUT,NA,NA,20,Student,Durham,5
Henry,10,9,NA,NA,NA,20,Student,Durham,NA
Henry,10,10,NA,NA,NA,20,Student,Durham,NA
Holly,2,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,31,Advertising executive,Leicester,1
Holly,2,2,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Advertising executive,Leicester,4
Holly,2,3,IN,Picnic Loaf,Stilton and Walnut Rolls,31,Advertising executive,Leicester,6
Holly,2,4,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,Advertising executive,Leicester,3
Holly,2,5,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,31,Advertising executive,Leicester,4
Holly,2,6,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,31,Advertising executive,Leicester,3
Holly,2,7,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,Advertising executive,Leicester,1
Holly,2,8,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,31,Advertising executive,Leicester,2
Howard,4,1,IN,Passion Fruit and Coconut Cake,Black Forest Revisited,51,Council Worker,Sheffield,6
Howard,4,2,IN,Moroccan Breadsticks,Picasso Sun Bread,51,Council Worker,Sheffield,10
Howard,4,3,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,51,Council Worker,Sheffield,7
Howard,4,4,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,51,Council Worker,Sheffield,5
Howard,4,5,IN,Breakfast Traybake,Japanese Pagoda Tea Tower,51,Council Worker,Sheffield,8
Howard,4,6,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,51,Council Worker,Sheffield,7
Howard,4,7,NA,NA,NA,51,Council Worker,Sheffield,NA
Howard,4,8,NA,NA,NA,51,Council Worker,Sheffield,NA
Howard,4,9,NA,NA,NA,51,Council Worker,Sheffield,NA
Howard,4,10,NA,NA,NA,51,Council Worker,Sheffield,NA
Iain,5,1,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",31,Construction Engineer,London/Belfast,4
Iain,5,2,IN,Za'atar and Fig Biscuits,Wild West Scene,31,Construction Engineer,London/Belfast,11
Iain,5,3,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,31,Construction Engineer,London/Belfast,9
Iain,5,4,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,Construction Engineer,London/Belfast,6
Iain,5,5,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Iain,5,6,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Iain,5,7,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Iain,5,8,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Iain,5,9,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Iain,5,10,NA,NA,NA,31,Construction Engineer,London/Belfast,NA
Ian,2,1,IN,Apple and Cinnamon Cupcakes,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10
Ian,2,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2
Ian,2,3,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10
Ian,6,1,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree,41,Travel photographer,"Great Wilbraham, Cambridgeshire",8
Ian,6,2,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3
Ian,6,3,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power,41,Travel photographer,"Great Wilbraham, Cambridgeshire",1
Ian,6,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,41,Travel photographer,"Great Wilbraham, Cambridgeshire",4
Ian,6,5,IN,Honey and Flowers Cake,Dessert Island,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5
Ian,6,6,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3
Ian,6,7,IN,Roadkill Pie,Victoria's Crown Charlotte Russe,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5
Ian,6,8,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2
Ian,6,9,IN,Chocolate and Bay Tart,Chocolate Well,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3
Ian,6,10,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2
Ian,2,4,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA
Ian,2,5,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA
Ian,2,6,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA
Ian,2,7,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA
Ian,2,8,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA
Imelda,9,1,OUT,NA,NA,33,Countryside recreation officer,County Tyrone,11
Imelda,9,2,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,3,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,4,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,5,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,6,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,7,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,8,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,9,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
Imelda,9,10,NA,NA,NA,33,Countryside recreation officer,County Tyrone,NA
James,3,1,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",21,Medical student,"Hillswick, Shetland Islands",2
James,3,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",21,Medical student,"Hillswick, Shetland Islands",2
James,3,3,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",21,Medical student,"Hillswick, Shetland Islands",1
James,3,4,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",21,Medical student,"Hillswick, Shetland Islands",5
James,3,5,IN,Four Pig Wellington,Sweet Potato Pie,21,Medical student,"Hillswick, Shetland Islands",6
James,3,6,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",21,Medical student,"Hillswick, Shetland Islands",7
James,3,7,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,21,Medical student,"Hillswick, Shetland Islands",1
James,3,8,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,21,Medical student,"Hillswick, Shetland Islands",1
James,3,9,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",21,Medical student,"Hillswick, Shetland Islands",1
James,3,10,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,21,Medical student,"Hillswick, Shetland Islands",1
James,8,1,IN,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,46,Banker,"Brentwood, Essex",2
James,8,2,IN,Rhubarb and Custard Whirls,'Coppit' Game,46,Banker,"Brentwood, Essex",3
James,8,3,IN,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,46,Banker,"Brentwood, Essex",9
James,8,4,IN,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,46,Banker,"Brentwood, Essex",2
James,8,5,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,46,Banker,"Brentwood, Essex",7
James,8,6,NA,NA,NA,46,Banker,"Brentwood, Essex",NA
James,8,7,NA,NA,NA,46,Banker,"Brentwood, Essex",NA
James,8,8,NA,NA,NA,46,Banker,"Brentwood, Essex",NA
James,8,9,NA,NA,NA,46,Banker,"Brentwood, Essex",NA
James,8,10,NA,NA,NA,46,Banker,"Brentwood, Essex",NA
Jamie,10,1,IN,NA,NA,20,Part-time waiter,Surrey,13
Jamie,10,2,OUT,NA,NA,20,Part-time waiter,Surrey,11
Jamie,10,3,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,4,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,5,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,6,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,7,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,8,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,9,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jamie,10,10,NA,NA,NA,20,Part-time waiter,Surrey,NA
Jane,7,1,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,61,Garden designer,Beckenham,7
Jane,7,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,61,Garden designer,Beckenham,2
Jane,7,3,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,61,Garden designer,Beckenham,9
Jane,7,4,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,61,Garden designer,Beckenham,3
Jane,7,5,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",61,Garden designer,Beckenham,1
Jane,7,6,IN,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,61,Garden designer,Beckenham,4
Jane,7,7,IN,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",61,Garden designer,Beckenham,4
Jane,7,8,IN,Tudor Rose Pies,Swans,61,Garden designer,Beckenham,5
Jane,7,9,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,61,Garden designer,Beckenham,1
Jane,7,10,Runner-up,"Red, White and Blue Meringue Crown",Family Favourites Feast,61,Garden designer,Beckenham,3
Janet,2,1,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,Teacher of Modern Languages,"Formby, Liverpool",8
Janet,2,2,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,63,Teacher of Modern Languages,"Formby, Liverpool",8
Janet,2,3,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,Teacher of Modern Languages,"Formby, Liverpool",8
Janet,2,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,Teacher of Modern Languages,"Formby, Liverpool",4
Janet,2,5,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie,63,Teacher of Modern Languages,"Formby, Liverpool",1
Janet,2,6,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,63,Teacher of Modern Languages,"Formby, Liverpool",5
Janet,2,7,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,63,Teacher of Modern Languages,"Formby, Liverpool",4
Janet,2,8,NA,NA,NA,63,Teacher of Modern Languages,"Formby, Liverpool",NA
Jasminder,1,1,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,45,Assistant Credit Control Manager,Birmingham,NA
Jasminder,1,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Assistant Credit Control Manager,Birmingham,2
Jasminder,1,3,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,Assistant Credit Control Manager,Birmingham,5
Jasminder,1,4,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,Assistant Credit Control Manager,Birmingham,2
Jasminder,1,5,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,Assistant Credit Control Manager,Birmingham,4
Jasminder,1,6,NA,NA,NA,45,Assistant Credit Control Manager,Birmingham,NA
Jason,2,1,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,19,Civil Engineering Student,Croydon,6
Jason,2,2,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Civil Engineering Student,Croydon,3
Jason,2,3,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,19,Civil Engineering Student,Croydon,7
Jason,2,4,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,Civil Engineering Student,Croydon,1
Jason,2,5,OUT,Brown Down Chicken Pie,Plum Meringue Pie,19,Civil Engineering Student,Croydon,7
Jason,2,6,NA,NA,NA,19,Civil Engineering Student,Croydon,NA
Jason,2,7,NA,NA,NA,19,Civil Engineering Student,Croydon,NA
Jason,2,8,NA,NA,NA,19,Civil Engineering Student,Croydon,NA
Joanne,2,1,IN,NA,NA,NA,NA,NA,11
Joanne,2,2,IN,NA,NA,NA,NA,NA,10
Joanne,2,3,IN,NA,NA,NA,NA,NA,1
Joanne,2,4,IN,NA,NA,NA,NA,NA,8
Joanne,2,5,IN,NA,NA,NA,NA,NA,6
Joanne,2,6,STAR BAKER,NA,NA,NA,NA,NA,1
Joanne,2,7,IN,NA,NA,NA,NA,NA,3
Joanne,2,8,WINNER,NA,NA,NA,NA,NA,1
John,3,1,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,22,Law student,Wigan,11
John,3,2,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",22,Law student,Wigan,1
John,3,3,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",22,Law student,Wigan,6
John,3,4,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,22,Law student,Wigan,6
John,3,5,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie,22,Law student,Wigan,2
John,3,6,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,22,Law student,Wigan,5
John,3,7,IN,Cherry and Almond Saffron Buns,Marzipan Stollen,22,Law student,Wigan,3
John,3,8,IN,Asian Spice Crackers,Gingerbread Roman Coliseum,22,Law student,Wigan,3
John,3,9,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,22,Law student,Wigan,2
John,3,10,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,22,Law student,Wigan,2
Jon,9,1,IN,NA,NA,47,Blood courier,Newport,5
Jon,9,2,IN,NA,NA,47,Blood courier,Newport,1
Jon,9,3,IN,NA,NA,47,Blood courier,Newport,2
Jon,9,4,IN,NA,NA,47,Blood courier,Newport,3
Jon,9,5,IN,NA,NA,47,Blood courier,Newport,7
Jon,9,6,IN,NA,NA,47,Blood courier,Newport,2
Jon,9,7,OUT,NA,NA,47,Blood courier,Newport,4
Jon,9,8,NA,NA,NA,47,Blood courier,Newport,NA
Jon,9,9,NA,NA,NA,47,Blood courier,Newport,NA
Jon,9,10,NA,NA,NA,47,Blood courier,Newport,NA
Jonathan,1,1,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,25,Research Analyst,St Albans,9
Jonathan,1,2,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,25,Research Analyst,St Albans,1
Jonathan,1,3,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",25,Research Analyst,St Albans,6
Jonathan,1,4,NA,NA,NA,25,Research Analyst,St Albans,NA
Jonathan,1,5,NA,NA,NA,25,Research Analyst,St Albans,NA
Jonathan,1,6,NA,NA,NA,25,Research Analyst,St Albans,NA
Jordan,5,1,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,32,IT Manager,"Sneinton, Nottingham",12
Jordan,5,2,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,32,IT Manager,"Sneinton, Nottingham",6
Jordan,5,3,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,32,IT Manager,"Sneinton, Nottingham",10
Jordan,5,4,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,5,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,6,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,7,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,8,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,9,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Jordan,5,10,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA
Julia,8,1,IN,Courgette and Lemon Cake,'Russian Doll' Cake,21,Aviation Broker,"Crawley, West Sussex",3
Julia,8,2,IN,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,21,Aviation Broker,"Crawley, West Sussex",4
Julia,8,3,STAR BAKER,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,21,Aviation Broker,"Crawley, West Sussex",2
Julia,8,4,IN,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,21,Aviation Broker,"Crawley, West Sussex",9
Julia,8,5,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,21,Aviation Broker,"Crawley, West Sussex",3
Julia,8,6,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,21,Aviation Broker,"Crawley, West Sussex",7
Julia,8,7,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA
Julia,8,8,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA
Julia,8,9,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA
Julia,8,10,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA
Karen,9,1,IN,NA,NA,60,In-store sampling assistant,Wakefield,6
Karen,9,2,IN,NA,NA,60,In-store sampling assistant,Wakefield,11
Karen,9,3,IN,NA,NA,60,In-store sampling assistant,Wakefield,5
Karen,9,4,IN,NA,NA,60,In-store sampling assistant,Wakefield,7
